2022-11-16 21:54:40,539 INFO    Thread-130:143091 [wandb_run.py:_console_start():1980] atexit reg
2022-11-16 21:54:40,539 INFO    Thread-130:143091 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-16 21:54:40,539 INFO    Thread-130:143091 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-16 21:54:40,539 INFO    Thread-130:143091 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-16 21:54:40,540 INFO    Thread-130:143091 [wandb_init.py:init():765] run started, returning control to user process
2022-11-16 21:59:22,118 INFO    Thread-130:143091 [wandb_run.py:_finish():1746] finishing run oscarscholin/Astro101_Project/lsnttd96
2022-11-16 21:59:22,118 INFO    Thread-130:143091 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 0
2022-11-16 21:59:22,118 INFO    Thread-130:143091 [wandb_run.py:_restore():1932] restore
2022-11-16 21:59:22,118 INFO    Thread-130:143091 [wandb_run.py:_restore():1938] restore done
2022-11-16 21:59:26,537 INFO    Thread-130:143091 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-11-16 21:59:26,538 INFO    Thread-130:143091 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-11-16 21:59:26,540 INFO    Thread-130:143091 [wandb_run.py:_footer_sync_info():3333] logging synced files
